,City,Max Temperature (F):,Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude
0,Hilo,80.6,69,90,3.36,19.71
1,Sao Filipe,77.74,85,14,9.1,14.9
2,Port Blair,83.39,75,0,6.85,11.67
3,Kapaa,82.4,74,1,4.7,22.08
4,Port Alfred,66.99,86,93,13.27,-33.59
5,Arraial do Cabo,78.8,83,75,11.41,-22.97
6,Puerto Ayora,77.0,69,75,20.8,-0.74
7,Atuona,78.98,68,0,5.35,-9.8
8,Bluff,68.29,80,67,2.71,-23.58
9,Asyut,73.4,56,34,11.41,27.18
10,Torrox,64.99,82,0,3.04,36.76
11,Rikitea,71.65,82,76,25.57,-23.12
12,Hirara,76.23,69,8,11.83,24.8
13,Barrow,61.79,97,100,6.67,-38.31
14,Imbituba,73.4,78,75,3.36,-28.24
15,Bambanglipuro,70.03,95,95,1.07,-7.95
16,Dolores,75.18,73,10,8.32,-33.53
17,Jamestown,44.26,85,1,1.92,-33.21
18,Baghdad,71.6,60,67,4.7,33.3
19,Cabo San Lucas,87.01,65,5,11.41,22.89
20,Mahanoro,77.07,85,7,12.88,-19.9
21,Altay,22.53,90,99,1.21,47.83
22,Iqaluit,33.8,74,75,2.24,63.75
23,Yellowknife,24.01,67,75,5.82,62.45
24,Sarrebourg,59.0,76,95,8.05,48.73
25,Mar del Plata,63.75,21,67,30.94,-46.43
26,Colesberg,61.52,21,35,8.75,-30.72
27,Avarua,75.2,94,100,11.41,-21.21
28,Dingle,74.82,90,100,9.89,11.0
29,Parrita,78.8,69,40,3.36,9.52
30,Naze,77.0,94,75,3.49,5.43
31,Valdivia,59.0,58,75,9.17,-39.81
32,Cherskiy,4.44,73,75,10.54,68.75
33,Mataura,61.0,68,65,7.0,-46.19
34,Ushuaia,53.6,50,75,17.22,-54.81
35,Iquitos,87.8,66,75,8.05,-3.75
36,Dongning,27.91,71,0,3.69,44.06
37,Cidreira,69.33,80,0,26.84,-30.17
38,Busselton,62.01,50,0,10.27,-33.64
39,Huarmey,72.41,52,32,8.63,-10.07
40,Almaznyy,53.6,81,0,11.18,48.03
41,Hermanus,61.0,83,0,18.41,-34.42
42,Qaanaaq,14.25,77,100,4.65,77.48
43,East London,67.84,82,85,13.09,-33.02
44,Ahuimanu,84.2,69,75,9.17,21.44
45,General Pico,70.7,70,94,17.31,-35.66
46,Chokurdakh,-7.37,84,100,1.74,70.62
47,Kruisfontein,55.26,91,11,2.93,-34.0
48,Saskylakh,-1.92,96,54,8.05,71.97
49,Kaitangata,56.08,68,100,17.34,-46.28
50,Pangody,18.41,94,100,20.56,65.85
51,Carnarvon,61.34,28,10,9.26,-30.97
52,Dikson,4.77,90,42,5.64,73.51
53,Albany,57.99,44,75,2.84,42.65
54,Bambous Virieux,73.4,88,20,6.93,-20.34
55,Bielsk Podlaski,55.99,83,100,1.01,52.77
56,Vao,45.64,90,100,8.55,59.1
57,Leon,54.0,54,1,3.58,40.74
58,Faanui,79.25,73,0,12.48,-16.48
